ID;date_time;date;time;temp;site;elev_cat
270;2022-09-10 23:00;2022-09-10;23:00:00;3.555;N;M
271;2022-09-11 00:00;2022-09-11;00:00:00;2.037;N;M
272;2022-09-11 01:00;2022-09-11;01:00:00;1.427;N;M
273;2022-09-11 02:00;2022-09-11;02:00:00;0.754;N;M
274;2022-09-11 03:00;2022-09-11;03:00:00;0.965;N;M
275;2022-09-11 04:00;2022-09-11;04:00:00;0.250;N;M
276;2022-09-11 05:00;2022-09-11;05:00:00;1.432;N;M
277;2022-09-11 06:00;2022-09-11;06:00:00;2.938;N;M
278;2022-09-11 07:00;2022-09-11;07:00:00;4.083;N;M
279;2022-09-11 08:00;2022-09-11;08:00:00;4.953;N;M
280;2022-09-11 09:00;2022-09-11;09:00:00;5.932;N;M
281;2022-09-11 10:00;2022-09-11;10:00:00;7.151;N;M
282;2022-09-11 11:00;2022-09-11;11:00:00;8.228;N;M
283;2022-09-11 12:00;2022-09-11;12:00:00;8.722;N;M
284;2022-09-11 13:00;2022-09-11;13:00:00;8.906;N;M
285;2022-09-11 14:00;2022-09-11;14:00:00;9.007;N;M
286;2022-09-11 15:00;2022-09-11;15:00:00;9.051;N;M
287;2022-09-11 16:00;2022-09-11;16:00:00;9.135;N;M
288;2022-09-11 17:00;2022-09-11;17:00:00;8.215;N;M
289;2022-09-11 18:00;2022-09-11;18:00:00;7.443;N;M
290;2022-09-11 19:00;2022-09-11;19:00:00;6.840;N;M
291;2022-09-11 20:00;2022-09-11;20:00:00;6.155;N;M
292;2022-09-11 21:00;2022-09-11;21:00:00;5.703;N;M
293;2022-09-11 22:00;2022-09-11;22:00:00;6.007;N;M
294;2022-09-11 23:00;2022-09-11;23:00:00;4.295;N;M
295;2022-09-12 00:00;2022-09-12;00:00:00;5.581;N;M
296;2022-09-12 01:00;2022-09-12;01:00:00;5.451;N;M
297;2022-09-12 02:00;2022-09-12;02:00:00;5.226;N;M
298;2022-09-12 03:00;2022-09-12;03:00:00;4.747;N;M
299;2022-09-12 04:00;2022-09-12;04:00:00;4.807;N;M
300;2022-09-12 05:00;2022-09-12;05:00:00;4.808;N;M
301;2022-09-12 06:00;2022-09-12;06:00:00;4.573;N;M
302;2022-09-12 07:00;2022-09-12;07:00:00;4.991;N;M
303;2022-09-12 08:00;2022-09-12;08:00:00;4.905;N;M
304;2022-09-12 09:00;2022-09-12;09:00:00;6.999;N;M
305;2022-09-12 10:00;2022-09-12;10:00:00;7.948;N;M
306;2022-09-12 11:00;2022-09-12;11:00:00;8.716;N;M
307;2022-09-12 12:00;2022-09-12;12:00:00;8.394;N;M
308;2022-09-12 13:00;2022-09-12;13:00:00;10.463;N;M
309;2022-09-12 14:00;2022-09-12;14:00:00;8.894;N;M
310;2022-09-12 15:00;2022-09-12;15:00:00;7.544;N;M
311;2022-09-12 16:00;2022-09-12;16:00:00;8.046;N;M
312;2022-09-12 17:00;2022-09-12;17:00:00;7.614;N;M
313;2022-09-12 18:00;2022-09-12;18:00:00;6.375;N;M
314;2022-09-12 19:00;2022-09-12;19:00:00;4.999;N;M
315;2022-09-12 20:00;2022-09-12;20:00:00;2.481;N;M
316;2022-09-12 21:00;2022-09-12;21:00:00;1.179;N;M
